adcost_summary_30
"September 15, 2025 - October 14, 2025"
Day,Clicks,Impr.,Currency code,Cost
2025-09-15,139,"6,499",GBP,52.13
2025-09-16,112,"5,356",GBP,52.71
2025-09-17,44,"1,832",GBP,11.40
2025-09-18,35,"1,946",GBP,12.85
2025-09-19,44,"2,039",GBP,10.18
2025-09-20,27,"1,316",GBP,11.46
2025-09-21,37,"2,145",GBP,10.45
2025-09-22,39,"1,593",GBP,10.07
2025-09-23,34,"1,488",GBP,9.54
2025-09-24,46,"2,398",GBP,12.17
2025-09-25,38,"2,278",GBP,11.19
2025-09-26,44,"2,091",GBP,17.36
2025-09-27,42,"2,398",GBP,14.48
2025-09-28,54,"2,649",GBP,20.41
2025-09-29,50,"2,461",GBP,18.52
2025-09-30,59,"3,083",GBP,22.49
2025-10-01,52,"2,225",GBP,19.05
2025-10-02,60,"3,187",GBP,24.58
2025-10-03,72,"2,947",GBP,25.58
2025-10-04,73,"3,402",GBP,27.29
2025-10-05,82,"3,306",GBP,28.57
2025-10-06,77,"4,306",GBP,30.64
2025-10-07,70,"4,075",GBP,31.75
2025-10-08,72,"4,259",GBP,31.18
2025-10-09,79,"4,356",GBP,31.82
2025-10-10,74,"4,252",GBP,34.32
2025-10-11,83,"4,875",GBP,37.50
2025-10-12,110,"5,960",GBP,47.32
2025-10-13,110,"4,631",GBP,48.23
2025-10-14,109,"5,472",GBP,55.56
