adcost_summary_30
9 February 2026 - 10 March 2026
Day,Clicks,Impr.,Currency code,Cost,Search impr. share
2026-02-09,30,"1,431",GBP,11.82,85.19%
2026-02-10,36,"1,342",GBP,11.75,83.78%
2026-02-11,33,"1,652",GBP,12.35,81.87%
2026-02-12,40,"2,382",GBP,11.83,80.00%
2026-02-13,35,"1,525",GBP,10.04,88.57%
2026-02-14,42,"2,118",GBP,17.17,84.97%
2026-02-15,57,"2,309",GBP,12.57,85.34%
2026-02-16,36,"1,288",GBP,9.78,93.73%
2026-02-17,58,"1,719",GBP,14.22,91.89%
2026-02-18,49,"1,910",GBP,13.96,89.75%
2026-02-19,51,"1,725",GBP,13.55,90.95%
2026-02-20,53,"1,953",GBP,14.36,92.36%
2026-02-21,60,"2,712",GBP,15.05,86.98%
2026-02-22,69,"1,942",GBP,15.34,86.21%
2026-02-23,50,"1,861",GBP,13.23,82.51%
2026-02-24,56,"1,560",GBP,14.19,91.40%
2026-02-25,44,"1,217",GBP,18.21,74.53%
2026-02-26,45,"2,191",GBP,12.15,74.01%
2026-02-27,50,"1,743",GBP,12.31,89.37%
2026-02-28,68,"2,688",GBP,20.68,88.94%
2026-03-01,40,"1,825",GBP,16.16,69.36%
2026-03-02,57,"2,700",GBP,14.66,76.22%
2026-03-03,53,"2,217",GBP,15.09,91.23%
2026-03-04,52,"1,770",GBP,15.54,84.99%
2026-03-05,69,"1,988",GBP,16.33,78.69%
2026-03-06,61,"2,401",GBP,15.94,91.48%
2026-03-07,65,"1,917",GBP,17.15,91.32%
2026-03-08,75,"2,419",GBP,18.04,87.67%
2026-03-09,78,"2,329",GBP,17.97, --
2026-03-10,69,"1,744",GBP,18.30, --
