groupid,brand,title,our_price,cost,rrp,benchmark_avg,benchmark_min,benchmark_max,benchmark_clicks,suggested_avg,suggested_min,suggested_max,total_click_uplift,total_conversion_uplift,sizes_in_report,margin_at_current,margin_at_suggested
0034701-MILANO,Birkenstock,Birkenstock Milano Birko-Flor Sandals Dark Brown Regular Fit,80.0,37.5,90.0,84.77,48.84,90.36,12.0,71.26,68.0,76.5,5.06,5.47,10,53.1,47.4
0034703-MILANO,Birkenstock,Birkenstock Milano Birko-Flor Sandals Dark Brown Narrow Fit,75.0,37.5,90.0,87.02,78.76,88.73,4.0,70.2,70.2,70.2,0.45,0.44,8,50.0,46.6
0034791-MILANO,Birkenstock,Birkenstock Milano Birko-Flor Sandals Black Regular Fit,83.0,37.5,90.0,,86.98,92.3,0.0,68.32,66.59,69.3,21.22,21.14,9,54.8,45.1
0034793-MILANO,Birkenstock,Birkenstock Milano Birko-Flor Sandals Black Narrow Fit,71.0,37.5,90.0,82.8,75.7,89.63,5.0,62.76,58.5,67.49,18.54,17.43,13,47.2,40.2
0040301-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor Sandals Patent Black Regular Fit,70.0,33.33,80.0,75.77,70.0,79.23,3.0,60.66,57.59,65.6,11.77,13.13,5,52.4,45.1
0040303-MADRID,Birkenstock,Birkenstock Madrid Sandals Patent Black Narrow Fit,64.0,33.33,80.0,73.5,69.74,79.13,24.0,56.71,56.0,59.99,3.15,4.53,7,47.9,41.2
0040391-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor Dark Brown Regular Fit,65.0,31.25,75.0,74.04,74.04,75.28,1.0,56.99,56.99,56.99,1.33,1.61,3,51.9,45.2
0040393-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor Dark Brown Narrow Fit,65.0,31.25,75.0,,58.44,72.04,0.0,56.24,56.24,56.24,2.85,3.46,5,51.9,44.4
0040731-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor White Regular Fit,75.0,31.25,75.0,,53.2,60.47,0.0,,,,,,4,58.3,
0040733-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor White Narrow Fit,62.0,31.25,75.0,71.9,66.86,79.26,13.0,57.11,56.99,57.75,2.43,2.55,6,49.6,45.3
0040791-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor Black Regular Fit,70.81,31.25,75.0,,64.14,75.0,0.0,57.34,56.99,58.49,15.27,17.85,8,55.9,45.5
0040793-MADRID,Birkenstock,Birkenstock Madrid Birko-Flor Black Narrow Fit,60.0,31.25,75.0,67.42,50.02,73.16,2.0,51.3,49.5,56.24,8.55,10.17,7,47.9,39.1
0043661-GIZEH,Birkenstock,Birkenstock Gizeh Patent Sandals Black Regular Fit,73.55,37.5,85.0,82.95,82.95,89.44,1.0,66.54,66.19,68.84,8.11,8.92,5,49.0,43.6
0043663-GIZEH,Birkenstock,Birkenstock Gizeh Patent Sandals Black Narrow Fit,70.0,37.5,85.0,,,,,63.84,60.35,67.15,11.38,15.97,6,46.4,41.3
0043691-GIZEH,Birkenstock,Birkenstock Gizeh Birko-Flor Sandals Black Regular Fit,70.43,35.42,85.0,83.37,65.61,84.79,8.0,57.77,56.95,58.65,39.39,42.34,8,49.7,38.7
0043693-GIZEH,Birkenstock,Birkenstock Gizeh Birko-Flor Sandals Black Narrow Fit,72.0,35.42,85.0,,57.03,89.19,0.0,58.16,57.8,58.65,14.0,14.9,6,50.8,39.1
0051101-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Natural Leather Sandals Brown Regular Fit,81.0,39.58,95.0,90.56,90.56,95.0,4.0,70.75,68.4,76.95,8.01,8.14,10,51.1,44.1
0051103-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Natural Leather Sandals Brown Narrow Fit,76.0,39.58,95.0,,88.69,95.0,0.0,71.24,71.24,71.24,0.28,0.34,8,47.9,44.4
0051191-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Natural Leather Sandals Black Regular Fit,79.26,39.58,95.0,93.43,90.88,95.0,4.0,69.21,68.4,71.24,5.05,5.45,10,50.1,42.8
0051193-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Natural Leather Sandals Black Narrow Fit,68.0,39.58,95.0,81.25,79.61,90.41,5.0,64.6,64.6,64.6,0.64,0.66,7,41.8,38.7
0051701-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Dark Brown Regular Fit,76.0,35.42,80.0,70.63,65.6,84.21,3.0,65.58,63.99,69.6,27.15,29.9,14,53.4,46.0
0051703-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Dark Brown Narrow Fit,71.8,35.42,80.0,,65.05,84.89,0.0,64.22,59.19,68.8,26.05,29.26,13,50.7,44.8
0051751-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Blue Regular Fit,80.0,35.42,80.0,,70.82,85.0,0.0,65.6,65.6,65.6,14.93,14.76,11,55.7,46.0
0051753-ARIZONA,Birkenstock,Birkenstock Arizona Birko-Flor Sandals Navy Blue Narrow Fit,80.0,35.42,80.0,,68.79,84.46,0.0,67.2,67.2,67.2,2.47,2.7,8,55.7,47.3
0051791-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Black Regular Fit,70.0,35.42,80.0,83.18,52.84,85.0,3.0,59.95,57.59,63.99,45.8,44.94,13,49.4,40.9
0051793-ARIZONA,Birkenstock,Birkenstock Arizona Two-Strap Birko-Flor Sandals Black Narrow Fit,68.0,35.42,80.0,80.02,74.03,84.83,13.0,59.05,57.59,60.79,7.07,7.9,13,47.9,40.0
0071051-MAYARI,Birkenstock,Birkenstock Mayari Birko-Flor Sandals White Regular Fit,69.0,35.42,85.0,72.51,69.34,79.89,4.0,57.98,56.95,65.55,5.96,6.33,7,48.7,38.9
0071053-MAYARI,Birkenstock,Birkenstock Mayari Birko-Flor Sandals White Narrow Fit,70.0,35.42,85.0,,59.52,76.0,0.0,63.33,60.35,65.45,3.13,3.15,5,49.4,44.1
0071791-MAYARI,Birkenstock,Birkenstock Mayari Birko-Flor Sandals Black Regular Fit,68.0,35.42,85.0,75.69,62.89,85.0,31.0,58.08,56.95,59.5,13.38,12.86,7,47.9,39.0
0071793-MAYARI,Birkenstock,Birkenstock Mayari Birko-Flor Sandals Black Narrow Fit,75.05,35.42,85.0,77.16,77.16,84.71,1.0,66.29,66.29,66.29,6.94,7.89,7,52.8,46.6
0128161-MADRID,Birkenstock,Birkenstock Madrid EVA Sandals Black Regular Fit,34.5,16.67,40.0,37.03,36.49,39.87,4.0,29.07,28.79,29.59,16.79,18.84,6,51.7,42.7
0128163-MADRID,Birkenstock,Birkenstock Madrid EVA Sandals Black Narrow Fit,35.0,16.67,40.0,38.63,38.63,39.84,1.0,29.65,28.79,31.5,13.72,15.67,6,52.4,43.8
0128181-MADRID,Birkenstock,Birkenstock Madrid EVA Sandals White Regular Fit,25.0,16.67,40.0,39.1,38.59,39.31,2.0,,,,,,3,33.3,
0128183-MADRID,Birkenstock,Birkenstock Madrid EVA Sandals White Narrow Fit,36.42,16.67,40.0,,35.3,39.71,0.0,,,,,,6,54.2,
0128201-GIZEH,Birkenstock,Birkenstock Gizeh EVA Sandals Black Regular Fit,40.0,18.75,45.0,,41.53,46.78,0.0,34.65,34.65,34.65,2.12,1.78,11,53.1,45.9
0128221-GIZEH,Birkenstock,Birkenstock Gizeh EVA Sandals White Regular Fit,40.87,18.75,45.0,31.69,31.35,37.25,1.0,35.19,32.84,39.15,19.36,20.85,11,54.1,46.7
0129421-ARIZONA,Birkenstock,Birkenstock Arizona EVA Sandals Black Regular Fit,42.32,20.83,45.0,43.15,43.15,49.52,1.0,,,,,,6,50.8,
